Scientific name,Synonym,Common Name,Family,Native/Introduced,Status/IUCN,COI,Key Features,Description,Body Size,Ecology ,Distribution,Habitat Traits,       Other information,Citation,Picture Reference
Ambassis agrammus,Not Available,Sailfin Glass Perchlet,Ambassidae,Native,Least Concern,QLDFF023-20 - Ambassis agrammus [COI-5P:652],Dorsal spines (total): 8; Dorsal soft rays (total): 7-10; Anal spines: 3; Anal soft rays: 7 - 10,"""A pale silvery yellow to semi-transparent glassfish with a darker olive hue above, often with dark-edged scales forming a network pattern, and often broad dusky margins on the dorsal, anal and pelvic fins.""",Up to 7.5 cm,"""Usually forms large aggregations that shelter among aquatic vegetation. The breeding season coincides with the onset of monsoonal spring rains. Feeds on micro-crustaceans, insects, small arachnids, fish and algae.""",Northern Australia and central-southern New Guinea.,"""Found in streams, ponds, and swamps. Inhabits rivers and creeks flowing through rainforest, sometimes in stagnant pools or slowly flowing rivulets. Also occurs along the margins of swamps and lakes. Freshwater; brackish; demersal.""",Not Available,https://fishbase.mnhn.fr/summary/Ambassis-agrammus.html     https://fishesofaustralia.net.au/home/species/1580,https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=1&ID=15124&what=species
Ambassis macleayi,Not Available,Macleay's glass perchlet,Ambassidae,Native,Least Concern,Not Available,Dorsal spines (total): 8; Dorsal soft rays (total): 9-11; Anal spines: 3; Anal soft rays: 9 - 11,"""A semi-transparent olive-green to dark greenish-brown or golden-yellow glassfish with dark scale edges forming a network pattern, and a dark patch at the pectoral fin base.""",Up to 9.0 cm,"""Feeds mainly on small crustaceans as well as on aquatic insects, juvenile fishes and algae.""",Northern and western Australia and Papua New Guinea.,"""Occurs along the vegetated margins of streams and swamps, often among dense aquatic vegetation. Freshwater; demersal.""",Not Available,https://fishbase.mnhn.fr/summary/Ambassis-macleayi.html   https://fishesofaustralia.net.au/home/species/4647,https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=2&ID=15128&what=species
Ambassis macracanthus,Not Available,Estuarine glass perchlet,Ambassidae,Native,Data Deficient,BIOPH104-20 - Ambassis macracanthus [COI-5P:655],Dorsal spines (total): 8; Dorsal soft rays (total): 9; Anal spines: 3; Anal soft rays: 9,Ambassis macracanthus (Estuarine Glass Perchlet) is a species of ray-finned fishes in the family Asiatic glassfishes. They are associated with freshwater habitat. Individuals can grow to 10.5 cm. They have sexual reproduction. ,Up to 10.5 cm,"""Inhabits brackish estuaries and lower reaches of freshwater streams, usually within about 10 km of the sea. Found in coastal areas.""","Eastern Indian Ocean, western Pacific: Andaman Sea east to Indonesia and Papua New Guinea.","Inhabits brackish estuaries and lower reaches of freshwater streams, usually within about 10 km of the sea. Found in coastal areas. Marine; freshwater; brackish; demersal. ",Not Available,"Allen, G.R., 1991. Field guide to the freshwater fishes of New Guinea. Publication, no. 9. 268 p. Christensen Research Institute, Madang, Papua New Guinea. (Ref. 2847)",https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=1&ID=24793&what=species
Denariusa australis,Not Available,Pennyfish,Ambassidae,Native,Least Concern,Not Available,Dorsal spines (total): 8; Dorsal soft rays (total): 9-10; Anal spines: 3; Anal soft rays: 7 - 9,Glassfish with semi-transparent body and six narrow dark vertical bars on the sides.,Up to 4.5 cm,"""Feeds primarily on aquatic insects and micro-crustaceans. The smallest ambassid in Australia, with a life span of probably 2-3 years. Sexual maturity is attained at the end of the first year and breeding has been recorded in the wet season in flooded swampy lagoons.""",Australia and New Guinea.,"""Occurs in small, slow-flowing streams and swamps where there is dense aquatic vegetation. Flooded swampy lagoons for breeding. Freshwater; demersal.""",Not Available,https://fishbase.mnhn.fr/summary/Denariusa-australis.html https://fishesofaustralia.net.au/home/species/4649,https://fishesofaustralia.net.au/home/species/4649
Parambassis gulliveri,Not Available,Giant Glassfish,Ambassidae,Native,Least Concern,ANGBF28598-19 - Parambassis [COI-5P:501], Dorsal spines (total): 8; Dorsal soft rays (total): 10-11; Anal spines: 3; Anal soft rays: 9 - 10,"""Distinguished by its large size, humped forehead and pattern of narrow black stripes on the side of the body. Mainly silvery with 8-9 dark stripes along its sides, pelvic and anal fins often yellow.""",Up to 24.0 cm,"""Feeds primarily on small fishes, prawns and crustaceans. Breeds in the dry season. Largest member of its family.""","Northern Australia (Queensland to Western Australia) and central-southern New Guinea (Papua Province, Indonesia and Papua New Guinea).",Occurs in relatively large rivers characterized by high turbidity. Freshwater; demersal.,Not Available,"https://fishbase.mnhn.fr/summary/Parambassis-gulliveri.html   https://fishesofaustralia.net.au/home/species/4650  Allen, Gerald R., et al. Freshwater Fishes of the Timika Region, New Guinea. Freeport Indonesia?; Tropical Reef Research, 2000. ",https://fishbase.mnhn.fr/photos/PicturesSummary.php?resultPage=1&ID=15140&what=species
Tetracentrum apogonoides,Not Available,Four spined Glass Perchlet,Ambassidae,Native,Vulnerable (VU),Not Available,Dorsal spines (total): 9; Dorsal soft rays (total): 10; Anal spines: 3-4; Anal soft rays: 9,Tetracentrum apogonoides (Four Spined Glass Perchlet) is a species of ray-finned fishes in the family Asiatic glassfishes. They are listed as vulnerable by IUCN. They are associated with freshwater habitat. Individuals can grow to 12.5 cm. They have sexual reproduction.,Up to 12.5 cm,Not Available,Papua New Guinea.,Freshwater; demersal. Tropical; 23°C - 28°C,Not Available,https://fishbase.mnhn.fr/summary/Tetracentrum-apogonoides.html,https://www.idigbio.org/portal/mediarecords/3d01b20c-505c-46dc-aa01-7bf2ce4feed4
Tetracentrum caudovittatus,Not Available,Kokoda Glass Perchlet ,Ambassidae,Native,Critically Endangered (CR),Not Available,Not Available,Tetracentrum caudovittatus (Kokoda Glass Perchlet) is a species of ray-finned fishes in the family Asiatic glassfishes. They are listed as critically endangered by IUCN. They are associated with freshwater habitat. Individuals can grow to 11.0 cm. They have sexual reproduction.,Up to 11.0 cm,A carnivorous and egg laying species ,Papua New Guinea.,Inhabits high altitude streams 300-400 m in elevation and occurring in areas with good vegetative cover. Freshwater; benthopelagic.,Not Available,https://fishbase.mnhn.fr/summary/Tetracentrum-caudovittatus.html,https://fishbase.mnhn.fr/summary/Tetracentrum-caudovittatus.html
Tetracentrum honessi,Not Available,Honess' Glass Perchlet,Ambassidae [8],Native,Vulnerable (VU),Not Available,Dorsal spines (total): 8; Dorsal soft rays (total): 10-11; Anal spines: 3; Anal soft rays: 9 - 11,Tetracentrum honessi (Honess' Glass Perchlet) is a species of ray-finned fishes in the family Asiatic glassfishes. They are listed as vulnerable by IUCN. They are associated with freshwater habitat. Individuals can grow to 11.5 cm. They have sexual reproduction. ,Up to 11.5 cm,NA,Papua New Guinea.,Freshwater; demersal. Tropical; 22°C - 26°C,Not Available,https://fishbase.mnhn.fr/summary/Tetracentrum-honessi.html,https://fishbase.mnhn.fr/summary/Tetracentrum-honessi.html
Anguilla obscura,Not Available,Pacific shortfin eel,Anguillidae [1],Native,Data Deficient,QLDFF054-20 - Anguilla obscura [COI-5P:652],"""Silver or yellowish to dark brown, becoming paler below. The dorsal fin originates before the anus, just in front of, or level with the anal fin origin, and the jaws reach beyond the eye.  Disttinguished by number of vertebrae: 102-108.""",Belongs to the group of anguillas which have a short dorsal fin which originates slightly before the anus ,Up to 110 cm,"""Sub-adults spend most of their lives in fresh or brackish waters. Feeds mainly on fishes, crustaceans and mollusks. 
Spawning adults occur in marine waters.""",Eastern Australia and Papua New Guinea east to Tuamotu Archipelago and Gambier Islands.,"""Inhabits freshwater streams, lakes and swamps, favouring coastal lagoons and the lower reaches of rivers. Occurs both in running and stagnant waters. Marine; freshwater; brackish; demersal; catadromous""",Not Available,https://fishbase.mnhn.fr/summary/Anguilla-obscura.html  https://fishesofaustralia.net.au/home/species/1425,https://www.idigbio.org/portal/mediarecords/a6c8cc52-68a5-448d-b736-c891828fa0e2
Apogon dianthus,Not Available,Not Available,Apogonidae,Native,Not Evaluated ,UKFBJ635-08 - Apogon dianthus [COI-5P:650],Dorsal spines (total): 7; Dorsal soft rays (total): 9; Anal spines: 2; Anal soft rays: 8; Vertebrae: 24.,"""Light orange-pink body, slightly translucent, tip of jaw pale red, fin rays pink with membranes clear. Lacking bars, stripes, or other markings on the fins, scales and body.""",Up to 4.8 cm,Mouthbrooders. Distinct pairing during courtship and spawning,"""Indo-West Pacific: Comores; Indonesia east to Palau and Fiji, south to Papua New Guinea.""",Marine; reef-associated; depth range ? - 18 m,Not Available,"Kuiter, R.H. and T. Kozawa, 2019. Cardinal fishes of the world. Seaford, Victoria (Aquatic Photographics) and Okazaki, Aichi, Japan (Anthias, Nexus):1-198. (Ref. 126002)",https://www.idigbio.org/portal/mediarecords/a6c8cc52-68a5-448d-b736-c891828fa0e2
